7	90	12	5	0	2	3	32	5	0	23	0	29	0	15	9	36	0	0	17	5	11	0	0	33
0	7	61	63	60	2	50	0	0	36	0	0	0	0	16	1	4	0	0	0	18	16	0	0	0
1	35	0	19	0	0	0	0	17	44	1	25	36	0	38	0	33	6	13	0	37	0	0	23	6
5	26	1	22	16	31	12	0	29	0	48	0	0	1	1	0	22	4	18	22	20	17	3	20	16
0	32	0	0	70	42	16	2	5	0	11	0	0	0	18	1	0	0	0	14	3	22	30	28	40
9	23	20	17	23	0	17	16	1	2	24	17	10	0	9	17	21	13	15	12	16	32	1	10	9
15	0	1	31	4	2	0	14	0	8	0	21	29	23	20	22	35	22	40	28	0	2	1	16	0
12	67	1	1	0	50	0	0	37	0	25	26	0	19	0	0	0	24	0	22	0	35	4	11	0
0	0	4	21	23	20	0	64	0	1	35	37	15	21	0	43	12	0	9	0	0	13	15	0	1
14	43	59	59	0	19	0	14	6	28	3	14	2	9	12	13	7	1	0	0	1	4	3	12	11
1	10	0	42	61	13	28	9	3	0	10	30	4	0	3	9	15	1	21	20	9	18	19	8	0
68	7	5	1	9	0	9	54	1	0	1	10	25	50	1	0	34	0	13	27	0	18	0	0	1
21	1	7	65	57	0	1	15	0	46	1	0	24	1	36	0	0	8	0	0	0	0	33	0	18
70	45	67	2	0	43	16	0	16	24	0	0	5	19	0	0	2	0	0	0	0	0	0	19	6
2	6	2	7	43	23	4	15	21	0	37	19	1	20	0	9	0	8	23	15	34	1	19	15	10
